ID,Title,URL,Raw Release Date,Releases Date
1,Nghị quyết 408/NQ-CP năm 2025 về Kế hoạch thực hiện công tác bầu cử đại biểu Quốc hội khóa XVI và đại biểu Hội đồng nhân dân các cấp nhiệm kỳ 2026-2031 do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-408-NQ-CP-2025-thuc-hien-cong-tac-bau-cu-dai-bieu-Quoc-hoi-khoa-XVI-684724.aspx,Ban hành: 13/12/2025,13/12/2025
2,"Nghị quyết 254/2025/QH15 quy định cơ chế, chính sách tháo gỡ khó khăn, vướng mắc trong tổ chức thi hành Luật Đất đai do Quốc hội ban hành",https://thuvienphapluat.vn/van-ban/Bat-dong-san/Nghi-quyet-254-2025-QH15-chinh-sach-thao-go-kho-khan-trong-to-chuc-thi-hanh-Luat-Dat-dai-684580.aspx,Ban hành: 11/12/2025,11/12/2025
3,Nghị quyết 403/NQ-CP năm 2025 về giao chỉ tiêu phát triển đối tượng tham gia bảo hiểm xã hội đến năm 2030 do Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Bao-hiem/Nghi-quyet-403-NQ-CP-2025-giao-chi-tieu-phat-trien-doi-tuong-tham-gia-bao-hiem-xa-hoi-683986.aspx,Ban hành: 10/12/2025,10/12/2025
4,"Nghị quyết 405/NQ-CP về kéo dài thời gian giải quyết chính sách, chế độ với người làm việc ngoài chỉ tiêu biên chế tại các Hội do Đảng và Nhà nước giao nhiệm vụ ở cấp tỉnh, cấp huyện trước ngày 01/07/2025 tại Nghị quyết 07/2025/NQ-CP về chính sách, chế độ đối với đối tượng chịu sự tác động do thực hiện sắp xếp tổ chức bộ máy, đơn vị hành chính các cấp theo Kết luận 183-KL/TW do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-quyet-405-NQ-CP-2025-keo-dai-thoi-gian-Nghi-quyet-07-2025-NQ-CP-683985.aspx,Ban hành: 10/12/2025,10/12/2025
5,Nghị quyết 406/NQ-CP về Phiên họp Chính phủ thường kỳ tháng 11 năm 2025,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-406-NQ-CP-2025-Phien-hop-Chinh-phu-thuong-ky-thang-11-684387.aspx,Ban hành: 10/12/2025,10/12/2025
6,"Nghị quyết 66.9/2025/NQ-CP xử lý khó khăn, vướng mắc trong quy định về trách nhiệm xây dựng, quản lý Cơ sở dữ liệu quốc gia về xử lý vi phạm hành chính do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-66-9-2025-NQ-CP-xu-ly-kho-khan-trong-xay-dung-Co-so-du-lieu-ve-xu-ly-vi-pham-hanh-chinh-683790.aspx,Ban hành: 08/12/2025,08/12/2025
7,"Nghị quyết 402/NQ-CP năm 2025 báo cáo tiếp thu, giải trình ý kiến thẩm tra của Ủy ban Kinh tế và Tài chính, ý kiến của các Đại biểu Quốc hội, Đoàn Đại biểu Quốc hội về dự án Luật Dự trữ quốc gia (sửa đổi) do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-402-NQ-CP-2025-giai-trinh-y-kien-tham-tra-du-an-Luat-Du-tru-quoc-gia-sua-doi-684510.aspx,Ban hành: 08/12/2025,08/12/2025
8,"Nghị quyết 397/NQ-CP năm 2025 về Kế hoạch hành động của Chính phủ về đấu tranh ngăn chặn, đẩy lùi tình trạng buôn lậu, gian lận thương mại, hàng giả, xâm phạm quyền sở hữu trí tuệ đến năm 2030",https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-quyet-397-NQ-CP-2025-Ke-hoach-dau-tranh-ngan-chan-day-lui-tinh-trang-buon-lau-683789.aspx,Ban hành: 05/12/2025,05/12/2025
9,"Nghị quyết 394/NQ-CP năm 2025 phát động phong trào toàn dân tham gia bảo vệ môi trường; giảm thiểu phát sinh, phân loại, thu gom, xử lý rác thải vì một Việt Nam sáng - xanh - sạch - đẹp do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-quyet-394-NQ-CP-2025-phat-dong-phong-trao-toan-dan-tham-gia-bao-ve-moi-truong-682914.aspx,Ban hành: 03/12/2025,03/12/2025
10,"Nghị quyết 389/NQ-CP năm 2025 bổ sung danh sách các cửa khẩu quốc tế cho phép người nước ngoài nhập cảnh, xuất cảnh bằng thị thực điện tử do Chính phủ ban hành",https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-389-NQ-CP-2025-bo-sung-cua-khau-quoc-te-cho-phep-nguoi-nuoc-ngoai-nhap-canh-bang-thi-thuc-dien-tu-682817.aspx,Ban hành: 02/12/2025,02/12/2025
